epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,4530.69,0.58348,0.42419,1.49691,0.75684,0.75134,0.76572,0.53601,1.01367,1.2806,2.07569,0.0012476,0.0012476,0.0012476
97,4578.42,0.59386,0.44884,1.53474,0.75184,0.73563,0.7005,0.48181,1.04486,1.19712,2.11574,0.00123968,0.00123968,0.00123968
98,4626.17,0.61167,0.43539,1.55546,0.73505,0.70115,0.71092,0.48149,1.08069,1.1983,2.27692,0.00123176,0.00123176,0.00123176
99,4673.86,0.56983,0.42969,1.47564,0.80105,0.70115,0.71739,0.5155,1.00255,1.29038,2.05582,0.00122384,0.00122384,0.00122384
100,4721.8,0.57437,0.44002,1.52565,0.83531,0.69961,0.71996,0.50822,0.97661,1.05969,2.09807,0.00121592,0.00121592,0.00121592
101,4769.68,0.58106,0.42577,1.45299,0.74914,0.71264,0.73442,0.52786,0.97506,1.10354,2.16737,0.001208,0.001208,0.001208
102,4818.02,0.5581,0.40635,1.47355,0.72738,0.67473,0.66669,0.4804,1.01954,1.23652,2.19431,0.00120008,0.00120008,0.00120008
103,4866.37,0.58793,0.43582,1.50745,0.76666,0.63218,0.7045,0.51087,0.99219,1.21371,2.14201,0.00119216,0.00119216,0.00119216
104,4914.52,0.55977,0.41469,1.48645,0.72763,0.70115,0.75537,0.55813,1.03988,1.26482,2.17417,0.00118424,0.00118424,0.00118424
105,4962.4,0.55538,0.40366,1.46631,0.6865,0.77011,0.71522,0.53198,0.94479,1.16268,2.03809,0.00117632,0.00117632,0.00117632
106,5010.4,0.5572,0.41033,1.44776,0.74668,0.74538,0.74871,0.54989,1.00606,1.0766,2.10676,0.0011684,0.0011684,0.0011684
107,5060.66,0.54285,0.40294,1.44154,0.69397,0.80805,0.73029,0.52931,0.96987,1.09459,2.07436,0.00116048,0.00116048,0.00116048
108,5111.08,0.5645,0.41938,1.50823,0.75764,0.71869,0.69441,0.50694,0.94844,1.27928,2.12572,0.00115256,0.00115256,0.00115256
109,5160.74,0.60085,0.43132,1.53479,0.68063,0.71039,0.65933,0.50644,0.94028,1.37866,2.04042,0.00114464,0.00114464,0.00114464
110,5210.2,0.54697,0.409,1.52013,0.63425,0.7176,0.68339,0.51242,1.00963,1.31691,2.16679,0.00113672,0.00113672,0.00113672
111,5259.65,0.57966,0.4202,1.47998,0.7117,0.76615,0.72558,0.54757,0.9364,1.16054,2.14756,0.0011288,0.0011288,0.0011288
112,5308.44,0.55307,0.41846,1.45808,0.68078,0.73541,0.70949,0.5508,0.95962,1.29115,2.09478,0.00112088,0.00112088,0.00112088
113,5356.81,0.54715,0.40349,1.46805,0.67243,0.68429,0.68991,0.5056,0.99739,1.31882,2.09209,0.00111296,0.00111296,0.00111296
114,5403.37,0.56116,0.42202,1.5141,0.68557,0.73563,0.72855,0.52219,0.99534,1.29816,2.14848,0.00110504,0.00110504,0.00110504
115,5449.66,0.52139,0.38854,1.41936,0.75463,0.72414,0.74292,0.53277,0.98701,1.18009,2.12424,0.00109712,0.00109712,0.00109712
